,6598,6599,6634,6635,6638,6639,6643,6644,6652,6654,6669,6678,6708,6709,6720,6721,6732,6739,6983,6985,6986,6987,6992,6997,7001,7007,7009,7010,7011,7012,7013,7014,7016,7017,7020,7025,7027,7028,7033
1116,11.47342706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706
6598,0,5.729713532,37.81610931,64.17279157,35.52422391,40.10799474,30.94045307,28.64856766,17.1891406,21.77291142,12.60536976,58.44307804,30.94045307,22.91885414,30.94045307,6.875656239,29.79451037,5.729713532,10.31348436,17.1891406,2.291885414,8.021598945,2.291885414,6.875656239,11.45942706,2.291885414,8.021598945,17.1891406,16.04319789,45.83770825,83.65381758,89.38353112,72.19439052,123.7618124,57.29713532,24.06479684,16.04319789,27.50262496,89.38353112
6599,0,0,17.1891406,2.291885414,28.64856766,19.48102601,19.48102601,19.48102601,11.45942706,17.1891406,11.45942706,2.291885414,17.1891406,17.1891406,17.1891406,11.45942706,19.48102601,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,11.45942706,19.48102601,5.729713532,5.729713532,2.291885414,8.021598945,19.48102601,17.1891406,11.45942706,17.1891406,25.21073955
6634,0,0,0,156.9941508,195.9562029,146.6806665,63.02684885,17.1891406,115.7402133,112.3023852,81.36193217,156.9941508,89.38353112,79.07004675,134.0752966,45.83770825,25.21073955,8.021598945,38.96205202,6.875656239,11.45942706,20.62696872,9.167541652,11.45942706,17.1891406,21.77291142,27.50262496,66.46467697,29.79451037,80.21598945,80.21598945,101.9889009,36.67016661,73.34033322,28.64856766,12.60536976,6.875656239,12.60536976,28.64856766
6635,0,0,0,0,137.5131248,160.4319789,68.75656239,20.62696872,71.0484478,69.9025051,50.42147909,178.7670622,127.1996405,85.94570299,98.55107276,28.64856766,22.91885414,5.729713532,24.06479684,8.021598945,11.45942706,16.04319789,11.45942706,12.60536976,17.1891406,13.75131248,17.1891406,41.25393744,27.50262496,114.5942706,114.5942706,145.5347237,60.73496344,104.2807863,48.12959367,19.48102601,11.45942706,20.62696872,36.67016661
6638,0,0,0,0,0,189.0805466,81.36193217,21.77291142,95.11324465,113.448328,72.19439052,138.6590675,79.07004675,87.0916457,111.1564425,38.96205202,29.79451037,25.21073955,38.96205202,19.48102601,26.35668224,20.62696872,22.91885414,27.50262496,22.91885414,17.1891406,24.06479684,55.00524991,25.21073955,71.0484478,71.0484478,90.52947381,33.23233849,67.61061969,26.35668224,27.50262496,19.48102601,28.64856766,52.7133645
6639,0,0,0,0,0,0,159.2860362,27.50262496,72.19439052,95.11324465,52.7133645,169.5995206,96.25918735,101.9889009,83.65381758,28.64856766,49.27553638,13.75131248,33.23233849,6.875656239,10.31348436,22.91885414,8.021598945,9.167541652,11.45942706,13.75131248,17.1891406,42.39988015,20.62696872,87.0916457,87.0916457,110.0104999,40.10799474,82.50787486,29.79451037,12.60536976,8.021598945,12.60536976,16.04319789
6643,0,0,0,0,0,0,0,22.91885414,30.94045307,51.56742179,22.91885414,100.8429581,50.42147909,49.27553638,36.67016661,12.60536976,41.25393744,9.167541652,19.48102601,2.291885414,5.729713532,12.60536976,2.291885414,5.729713532,11.45942706,6.875656239,8.021598945,18.3350833,11.45942706,45.83770825,57.29713532,72.19439052,27.50262496,55.00524991,20.62696872,9.167541652,5.729713532,9.167541652,30.94045307
6644,0,0,0,0,0,0,0,0,8.021598945,13.75131248,5.729713532,30.94045307,13.75131248,13.75131248,10.31348436,19.48102601,21.77291142,19.48102601,6.875656239,17.1891406,17.1891406,2.291885414,17.1891406,17.1891406,11.45942706,17.1891406,19.48102601,5.729713532,5.729713532,14.89725519,27.50262496,29.79451037,22.91885414,40.10799474,18.3350833,8.021598945,2.291885414,8.021598945,20.62696872
6652,0,0,0,0,0,0,0,0,0,59.58902074,55.00524991,71.0484478,40.10799474,38.96205202,90.52947381,35.52422391,13.75131248,2.291885414,20.62696872,2.291885414,8.021598945,10.31348436,5.729713532,6.875656239,19.48102601,11.45942706,14.89725519,35.52422391,16.04319789,40.10799474,42.39988015,46.98365097,17.1891406,33.23233849,13.75131248,5.729713532,19.48102601,5.729713532,25.21073955
6654,0,0,0,0,0,0,0,0,0,0,57.29713532,69.9025051,40.10799474,40.10799474,75.63221864,24.06479684,26.35668224,8.021598945,43.54582284,6.875656239,10.31348436,22.91885414,8.021598945,9.167541652,11.45942706,11.45942706,14.89725519,34.3782812,16.04319789,38.96205202,41.25393744,45.83770825,19.48102601,33.23233849,14.89725519,6.875656239,2.291885414,6.875656239,28.64856766
6669,0,0,0,0,0,0,0,0,0,0,0,50.42147909,28.64856766,27.50262496,89.38353112,21.77291142,11.45942706,19.48102601,16.04319789,2.291885414,6.875656239,11.45942706,5.729713532,6.875656239,11.45942706,8.021598945,10.31348436,25.21073955,11.45942706,28.64856766,29.79451037,33.23233849,12.60536976,24.06479684,9.167541652,2.291885414,17.1891406,2.291885414,22.91885414
